index,title,quality,genere,imdb
277,A Brilliant Young Mind,HD,Comedy|Drama,7.4
278,A Bronx Tale,HD,Crime|Drama,7.8
279,A Brony Tale,HD,Documentary,5.7
280,A Bugs Life,HD,Adventure|Comedy|Animation,7.2
281,A Bundle Of Trouble An Aurora Teagarden Mystery,SD,TVShow|Mystery,8.3
282,A Case Of You,HD,Romance|Comedy,5.6
283,A Cat In Paris,HD,Crime|Family|Animation,7
284,A Certain Justice,HD,Action|Drama,4.3
285,A Charlie Brown Christmas,HD,Family|Animation,8.4
286,A Charlie Brown Thanksgiving,HD,Family|Animation,7.8
287,A Chinese Odyssey I: Pandoras Box,HD,Comedy,7.9
288,A Chinese Odyssey Ii: Cinderella,SD,Comedy|Fantasy,8.1
289,A Chinese Odyssey: Part Three,HD,Fantasy,4.8
290,A Chorus Line,HD,Musical|Drama,6
291,A Christmas Carol,HD,Family|Drama|Animation,6.8
292,A Christmas Carol (1938),HD,Family|Drama|Fantasy,7.5
293,A Christmas Carol (1951),HD,Drama|Fantasy,8.1
294,A Christmas Carol (1984),HD,Family|Drama|Fantasy,7.9
295,A Christmas Detour,HD,Comedy,6.2
296,A Christmas Eve Miracle,SD,Comedy|Family,2.3
297,A Christmas Horror Story,HD,Thriller|Mystery|Horror,6.2
298,A Christmas in Vermont,HD,Comedy,6.7
299,A Christmas Kiss,HD,Romance,6.3
300,A Christmas Melody,HD,Comedy|Musical,6.5
301,A Christmas Memory,HD,Family|Drama,7
302,A Christmas Mystery,SD,Romance|Drama|Mystery,5
303,A Christmas Reunion,HD,Family,6.6
304,A Christmas Snow,HD,Comedy|Family|Drama,5.9
305,A Christmas Star,HD,Family,6.7
306,A Christmas Story,HD,Comedy|Family,8.1
307,A Christmas Story 2,HD,Comedy|Family,3.4
308,A Christmas To Remember,HD,Comedy|Family|Drama,6
309,A Christmas to Remember (2016),HD,Romance,6.5
310,A Christmas Truce,HD,Drama,7.1
311,A Christmas Visitor,HD,Family|Drama,7.1
312,A Christmas Wish,HD,Comedy|Family|Drama,6.6
313,A Cinderella Christmas,HD,Romance|Comedy,7.5
314,A Cinderella Story,HD,Romance|Comedy|Family,5.8
315,A Cinderella Story: If the Shoe Fits,HD,Family|Fantasy,6.7
316,A Cinderella Story: Once Upon A Song,HD,Comedy|Family|Romance,6.1
317,A Civil Action,HD,Drama,6.5
318,A Clockwork Orange,HD,Crime|Drama|Sci-Fi,8.3
319,A Coffee in Berlin,HD,Drama,7.4
320,A Common Man,HD,Action|Thriller,4.7
321,A Company Man,HD,Action|Thriller|Drama,6.7
322,A Conspiracy Of Faith,HD,Thriller|Crime|Drama,7
